ibge_code,nome_norm,pib_per_capita,idh,saneamento
3512704,corumbatai,84731.24,0.7,80.0
3512803,cosmopolis,28255.87,0.697,0.0
3512902,cosmorama,69530.67,0.63,79.99
3513009,cotia,62486.58,0.707,20.46
3513108,cravinhos,48891.09,0.683,80.0
3513207,cristais paulista,39369.07,0.682,88.82
3513306,cruzalia,68116.76,0.778,100.0
3513405,cruzeiro,38390.41,0.758,3.0
3513504,cubatao,165607.5,0.681,52.19
3513603,cunha,15269.84,0.576,21.38
3513702,descalvado,61036.51,0.687,30.98
3513801,diadema,43031.91,0.716,45.5
3513850,dirce reis,38685.19,0.704,91.84
3513900,divinolandia,44568.55,0.645,75.83
3514007,dobrada,15286.82,0.655,80.0
3514106,dois corregos,30150.85,0.616,97.58
3514205,dolcinopolis,27963.37,0.709,99.99
3514304,dourado,90318.49,0.689,98.75
3514403,dracena,30557.62,0.737,96.0
3514502,duartina,20338.59,0.698,100.0
3514601,dumont,33647.69,0.674,70.66
3514700,echapora,25295.64,0.69,97.32
3514809,eldorado,21122.95,0.615,93.85
3514908,elias fausto,55521.14,0.583,100.0
3514924,elisiario,20323.57,0.712,87.44
3514957,embauba,23385.21,0.641,41.31
3515004,embu,,,
3515103,embu guacu,20683.01,0.708,37.7
3515129,emilianopolis,24451.77,0.691,97.51
3515152,engenheiro coelho,30446.44,0.668,96.25
3515186,espirito santo do pinhal,46311.65,0.712,94.4
3515194,espirito santo do turvo,18630.23,0.609,99.46
3515202,estrela d oeste,89460.5,0.705,98.22
3515301,estrela do norte,22511.33,0.714,99.99
3515350,euclides da cunha paulista,14708.88,0.655,95.73
3515400,fartura,29419.47,0.648,93.72
3515509,fernandopolis,35430.06,0.758,98.3
3515608,fernando prestes,35416.65,0.68,100.0
3515657,fernao,46552.1,0.617,99.98
3515707,ferraz de vasconcelos,23863.13,0.703,37.62
3515806,flora rica,30176.19,0.723,100.0
3515905,floreal,28393.24,0.726,100.0
3516002,florida paulista,17731.75,0.646,100.0
3516101,florinia,,,
3516200,franca,31450.1,0.753,98.82
3516309,francisco morato,10439.01,0.647,0.0
3516408,franco da rocha,27126.51,0.654,0.0
3516507,gabriel monteiro,33755.37,0.762,99.04
3516606,galia,26907.52,0.634,100.0
3516705,garca,38831.12,0.728,75.54
3516804,gastao vidigal,17476.7,0.635,99.99
3516853,gaviao peixoto,244615.79,0.676,82.91
3516903,general salgado,25343.09,0.702,100.0
3517000,getulina,18806.06,0.652,88.89
3517109,glicerio,25880.65,0.63,100.0
3517208,guaicara,18704.97,0.679,97.39
3517307,guaimbe,76293.81,0.689,86.21
3517406,guaira,65519.59,0.683,80.35
3517505,guapiacu,40585.65,0.605,85.87
3517604,guapiara,25989.08,0.602,52.41
3517703,guara,28896.21,0.63,100.0
3517802,guaracai,39546.1,0.663,100.0
3517901,guaraci,32986.54,0.682,75.62
3518008,guarani d oeste,18556.87,0.714,100.0
3518107,guaranta,29367.05,0.623,100.0
3518206,guararapes,36072.94,0.726,95.67
3518305,guararema,50771.09,0.656,65.76
3518404,guaratingueta,63948.0,0.751,32.45
3518503,guarei,16300.18,0.583,46.9
3518602,guariba,27783.09,0.645,100.0
3518701,guaruja,32292.29,0.679,70.72
3518800,guarulhos,55084.22,0.717,10.2
3518859,guatapara,31618.94,0.688,16.76
3518909,guzolandia,17505.62,0.621,100.0
3519006,herculandia,36890.4,0.698,39.64
3519055,holambra,93777.73,0.698,100.0
3519071,hortolandia,77357.5,0.703,90.06
3519105,iacanga,54825.02,0.675,80.0
3519204,iacri,50533.65,0.655,100.0
3519253,iaras,17261.62,0.543,100.0
3519303,ibate,32354.27,0.627,34.05
3519402,ibira,25170.21,0.65,96.05
3519501,ibirarema,30862.28,0.628,85.56
3519600,ibitinga,32137.74,0.726,81.94
3519709,ibiuna,29609.37,0.614,38.27
3519808,icem,25025.6,0.646,88.99
3519907,iepe,52789.96,0.7,48.29
3520004,igaracu do tiete,15357.34,0.664,91.5
3520103,igarapava,42208.35,0.671,93.93
3520202,igarata,24936.71,0.616,42.83
3520301,iguape,51053.14,0.653,82.99
3520400,ilhabela,385605.85,0.693,53.62
3520426,ilha comprida,118036.8,0.66,61.63
3520442,ilha solteira,26261.81,0.782,80.0
3520509,indaiatuba,87525.86,0.738,99.53
3520608,indiana,17846.96,0.733,68.5
3520707,indiapora,28664.34,0.71,98.15
3520806,inubia paulista,33790.08,0.75,100.0
3520905,ipaussu,32911.22,0.65,90.85
3521002,ipero,25010.8,0.672,69.7
3521101,ipeuna,121154.37,0.685,67.66
3521150,ipigua,22360.76,0.666,92.73
3521200,iporanga,15181.67,0.668,99.99
3521309,ipua,26361.5,0.654,58.24
3521408,iracemapolis,85178.34,0.729,100.0
3521507,irapua,22987.71,0.624,100.0
3521606,irapuru,13115.75,0.622,62.6
3521705,itabera,58380.87,0.636,88.79
3521804,itai,33471.94,0.63,99.34
3521903,itajobi,61001.88,0.644,80.0
3522000,itaju,58993.27,0.613,85.71
3522109,itanhaem,22704.86,0.701,57.31
3522158,itaoca,16009.98,0.637,58.48
3522208,itapecerica da serra,27338.58,0.687,40.32
3522307,itapetininga,38058.01,0.705,92.2
3522406,itapeva,39783.21,0.697,88.71
3522505,itapevi,52656.14,0.677,31.42
3522604,itapira,62845.44,0.692,100.0
3522653,itapirapua paulista,12247.37,0.594,78.19
3522703,itapolis,37459.11,0.667,89.04
3522802,itaporanga,20103.59,0.653,94.15
3522901,itapui,70205.57,0.633,0.0
3523008,itapura,20950.66,0.673,78.12
3523107,itaquaquecetuba,25112.29,0.648,9.2
3523206,itarare,23286.15,0.649,93.3
3523305,itariri,24725.72,0.577,72.3
3523404,itatiba,66360.02,0.708,87.09
3523503,itatinga,18764.35,0.61,99.36
3523602,itirapina,68413.96,0.636,100.0
3523701,itirapua,24568.81,0.743,93.43
