ibge_code,nome_norm,pib_per_capita,idh,saneamento
3554508,tiete,50258.52,0.698,51.38
3554607,timburi,25047.71,0.629,99.99
3554656,torre de pedra,15524.93,0.647,85.14
3554706,torrinha,28177.45,0.658,80.9
3554755,trabiju,25639.0,0.697,72.43
3554805,tremembe,18591.56,0.72,84.97
3554904,tres fronteiras,20839.4,0.726,100.0
3554953,tuiuti,25756.65,0.63,0.0
3555000,tupa,33732.18,0.704,100.0
3555109,tupi paulista,21720.31,0.715,91.31
3555208,turiuba,27877.78,0.721,100.0
3555307,turmalina,44206.07,0.675,100.0
3555356,ubarana,32774.2,0.604,70.0
3555406,ubatuba,29152.88,0.679,39.32
3555505,ubirajara,23709.14,0.674,98.18
3555604,uchoa,39430.92,0.644,0.0
3555703,uniao paulista,30538.05,0.699,100.0
3555802,urania,31344.02,0.709,100.0
3555901,uru,40623.52,0.639,100.0
3556008,urupes,34609.7,0.683,91.89
3556107,valentim gentil,31863.26,0.692,100.0
3556206,valinhos,59842.76,0.763,87.65
3556305,valparaiso,45529.09,0.643,93.12
3556354,vargem,14148.82,0.591,49.24
3556404,vargem grande do sul,29684.07,0.643,91.55
3556453,vargem grande paulista,53359.16,0.683,9.72
3556503,varzea paulista,31913.34,0.705,94.07
3556602,vera cruz,22231.9,0.715,59.11
3556701,vinhedo,154054.53,0.739,84.98
3556800,viradouro,23190.53,0.683,90.37
3556909,vista alegre do alto,46388.5,0.676,96.73
3556958,vitoria brasil,24394.51,0.685,99.99
3557006,votorantim,31487.9,0.747,71.8
3557105,votuporanga,40190.41,0.744,80.0
3557154,zacarias,46763.19,0.674,99.99
3557204,chavantes,21448.28,0.655,93.93
3557303,estiva gerbi,33843.06,0.695,0.0
